iter,prevalence,prob_nonhome,los_red,cost_inpt,cost_irf,cost_snf,cost_ltch,cost_intervention,delta_cost_per_patient,bed_days_saved_per_10K
67,0.162127,0.806221,1.157192,2765.827387,1602.878806,428.233777,1889.768834,73.766109,506.94209493813156,1876.1169115654357
68,0.162149,0.802472,0.760969,1832.159474,1585.097779,626.600604,2882.397429,59.097437,216.48861783151065,1233.9058104498645
69,0.162194,0.806879,0.623179,2961.088271,1447.492567,632.135877,1452.536909,82.479266,285.9172339793911,1010.7597558375356
70,0.161855,0.805322,1.523124,2337.974865,1506.246635,601.204401,1714.284177,54.006758,567.6289467857833,2465.254116535055
71,0.162938,0.8057,0.692019,1683.520503,1240.21539,542.613098,2131.031071,223.450931,153.41911179676487,1127.5647864687419
72,0.162029,0.805811,1.670511,1699.442605,1350.928776,440.563512,2201.60482,18.470188,456.9976255348726,2706.712959249338
73,0.162169,0.803781,0.722629,1351.364405,751.000229,627.043831,1151.830948,100.629301,142.04480571256,1171.880537806921
74,0.161626,0.806569,1.375205,2691.989626,1350.078625,316.350465,1038.715024,77.919954,585.7530133438414,2222.694045010408
75,0.162063,0.805453,1.12827,2108.692489,824.558694,485.327227,2408.844549,94.636201,370.2391552388718,1828.5083711866332
76,0.162799,0.802932,1.280909,2599.084567,1381.268996,764.861044,1577.520482,258.327189,499.93189070904236,2085.3002507848896
77,0.162586,0.804582,1.14492,3118.319809,1657.333543,453.838181,1573.269457,146.116344,556.714129907452,1861.4853800557012
78,0.162703,0.805397,1.356807,1410.795714,1669.180503,506.936305,2158.610705,139.093276,288.8106949505054,2207.559359642355
79,0.162175,0.804787,1.727378,2085.91053,814.700366,804.559234,1952.507131,152.238808,559.6517048390951,2801.3713540559493
80,0.162166,0.804863,0.559705,1498.593458,1236.224174,655.94831,1454.097576,163.034955,109.58115992244106,907.6502753746216
81,0.162716,0.804951,1.744406,1955.530053,1098.414002,315.484941,1717.684761,108.536891,537.4027707309587,2838.429773801304
82,0.161985,0.804088,0.851121,1582.539863,1498.667105,532.286758,2389.818374,142.859093,195.04166378103068,1378.6866558637657
83,0.162453,0.805852,0.094189,3499.69866,1377.214166,431.768986,2223.607282,112.75948,35.23178069851628,153.01296007688774
84,0.162318,0.80583,1.341943,2053.123369,2885.034559,322.030023,1584.821427,44.873222,439.9320021056975,2178.221537907906
85,0.162206,0.802879,1.41473,3764.032601,2831.224228,532.115836,1384.779655,293.649924,816.131212594601,2294.781052732701
86,0.162592,0.804728,1.251242,2604.23696,1506.82127,772.801975,2497.082882,184.415056,499.828038939187,2034.4252504538879
87,0.161573,0.802842,0.830412,2626.416404,1311.140197,394.239122,1587.370816,114.72649,333.8556545594683,1341.7231810112596
88,0.162338,0.805466,0.530613,1781.817106,1594.504222,335.5343,2047.245612,23.233307,149.71111198395516,861.3832970278606
89,0.162692,0.804875,0.735344,1920.806547,644.652599,386.312501,1424.375722,50.059965,221.651352399093,1196.3502146439107
90,0.162114,0.803633,1.083055,2089.823994,1031.546789,436.138653,2667.914372,272.395953,322.7697054575809,1755.789190726038
91,0.162343,0.802757,0.862518,2643.917516,1582.007452,553.595791,2056.685643,80.93467,357.0723690499925,1400.2387042566418
92,0.162187,0.804447,0.477841,1219.29864,2149.916634,983.836572,3055.401946,55.594035,85.47835870315194,774.9944112954366
93,0.162007,0.804429,0.870238,1489.175274,2002.046274,519.878755,1705.612506,41.599984,203.2108774779919,1409.8431335658338
94,0.161425,0.804669,0.584194,2539.822922,2025.895499,559.447098,1380.213817,77.550878,226.99541257502634,943.034418612212
95,0.16164,0.804269,0.6641,1462.2475,1699.22138,605.058727,1578.688752,133.523506,135.38257857307147,1073.452605516673
96,0.16254,0.804605,1.36398,2482.170888,2006.600763,485.464601,1314.351392,126.918205,529.6709208269068,2217.011697209304
97,0.163484,0.804747,0.405724,3454.70945,788.715939,365.011598,3118.833412,53.417532,220.41630982647732,663.2952789304427
98,0.161707,0.803753,1.164433,1853.8246,1259.302107,363.588652,2461.324613,114.729486,330.5169613249907,1882.9695401309252
99,0.161762,0.806081,0.729503,2871.553266,1795.963969,336.018787,2771.904443,45.193452,331.54866917538226,1180.0555355920337
100,0.162619,0.805966,1.135072,2448.674664,1325.469077,360.75424,2010.253123,178.862374,422.899433618053,1845.8384674431977
101,0.162077,0.803997,0.537064,1611.275396,3274.310771,359.194519,3363.375358,274.571159,95.7529599555715,870.4574245813295
102,0.162155,0.805682,0.889332,1158.196598,1100.793418,932.839951,2109.14708,123.757192,146.9548351260162,1442.0921743658464
103,0.161808,0.803847,0.569548,2217.210339,2236.321732,413.496836,1274.619115,161.004917,178.28048742945109,921.5742413266665
104,0.162023,0.804814,1.145004,3537.301676,1500.008365,323.033026,1370.849193,81.626697,643.0046251191392,1855.1712523542312
105,0.162725,0.804233,0.08545,2368.014745,1720.906812,340.777459,1759.421546,201.506688,0.13686509578122327,139.04923800893934
106,0.161027,0.803812,0.950791,3273.458131,1040.786647,508.308372,2186.244651,202.173961,468.6210023656702,1531.0306175527492
107,0.161977,0.804273,0.337227,3851.461212,1082.735372,558.859685,1816.923935,134.15345,188.64926772447313,546.2319180163897
108,0.161835,0.80696,0.669501,2494.524525,1410.922455,500.849734,1979.035227,71.921883,258.6393910658816,1083.488587977018
109,0.162287,0.803281,0.827902,2925.140989,1117.718147,367.24035,1049.722306,116.083094,374.17602673178186,1343.5755309047197
110,0.16162,0.806581,1.35287,1545.768618,1701.393564,386.941952,1917.509424,108.069694,320.51776402948354,2186.51095839789
111,0.161752,0.805147,0.150424,2787.097344,1194.06119,817.840308,1230.890573,238.281043,29.271761134136998,243.3150052799995
112,0.161913,0.80389,0.058285,3105.887489,1371.280479,820.487421,1285.732381,237.748406,-9.184144682288773,94.37082567136757
113,0.162036,0.803256,1.554724,2101.938141,1810.237288,479.608411,3292.104684,64.570576,519.0598653566194,2519.2112460838753
114,0.161993,0.806103,0.821204,2184.876952,1280.69225,467.485306,1372.486617,118.523453,271.45293213811294,1330.2942579972175
115,0.161799,0.804678,0.122083,3242.643689,1168.400219,775.407753,1458.653412,34.334118,58.496366383259314,197.5289771351061
116,0.16263,0.806547,0.783128,1966.407137,962.381251,661.163416,2286.315725,50.975433,242.1509899899919,1273.5973872105048
117,0.162943,0.803713,0.754509,2512.545802,2456.329833,481.682759,2327.294673,199.535024,276.38424859553686,1229.418623313173
118,0.162528,0.804778,0.704107,2338.478465,1493.945183,438.486407,2317.636272,46.650165,260.02652627126315,1144.3700751513677
119,0.162563,0.80273,1.105955,3712.116938,929.306763,411.904968,3809.562906,201.617755,634.6164690747993,1797.8746317650298
120,0.161726,0.80515,0.143803,2805.873652,1656.813672,360.050067,1917.212108,32.070281,60.06869178812416,232.56670690921393
121,0.162538,0.805791,1.012211,2178.909828,1102.931452,368.284772,1650.109757,444.104698,286.29584344615563,1645.2243987978331
122,0.161906,0.806468,0.756077,2353.435936,1971.842336,450.89124,1143.676051,30.57096,283.1429555876493,1224.1360746988153
123,0.162583,0.803768,0.95754,1200.891269,1449.107992,386.061467,1483.612699,183.349523,157.14488844935295,1556.7969463417758
124,0.162215,0.804845,1.434182,3255.031038,1520.346426,512.409253,1946.72359,69.98391,745.9183630801637,2326.462693919095
125,0.162259,0.802605,1.491849,2621.192269,910.672936,429.65693,2078.818923,29.97578,629.6361663602474,2420.654151034575
126,0.16167,0.806396,1.780097,2054.083753,1852.087877,388.185523,967.673667,19.63628,587.9683617896865,2877.8912621232703
127,0.162646,0.804032,0.032452,2640.77954,1546.55199,387.284303,2335.738793,108.92315,-3.7774725270222773,52.781477877999954
128,0.162347,0.802333,1.165277,2805.041235,1026.611296,627.275769,1410.220072,149.425612,506.3965007794856,1891.7914233026017
129,0.161058,0.804759,1.371896,2425.454326,1117.870564,498.922642,1415.616909,43.315556,528.9379965110548,2209.541881855492
130,0.162384,0.803469,0.691542,2458.480721,1030.224297,399.318219,1038.969691,149.458903,251.80607738362175,1122.9528045157908
131,0.163256,0.804752,0.970467,1380.459499,1675.039475,407.961679,2983.491507,142.395379,195.4655826969477,1584.3454937055985
132,0.161468,0.804927,1.648965,2668.020901,1338.31965,278.900818,1057.925681,18.245096,707.4295392228274,2662.5561460558283
133,0.162347,0.802521,0.880068,2681.496257,1005.038598,470.686398,2475.234033,95.518103,367.6144861628424,1428.7602685220947
134,0.162693,0.804316,1.631782,3153.454272,1553.685579,313.67557,1923.213965,131.74703,815.7458366011183,2654.8037473198237
135,0.162439,0.804247,0.956385,2968.888998,1574.040412,419.36736,1415.374955,92.129811,446.2643473353736,1553.5435661800943
136,0.1627,0.804622,1.21089,2052.797775,2054.062054,608.193945,2162.961747,140.911777,381.49953697092707,1970.120601028217
137,0.16207,0.803374,1.445033,2539.906555,1367.862325,752.844084,1950.356178,276.43516,550.0358464937242,2341.9669556009294
138,0.161583,0.804258,0.436682,2538.946762,1544.562231,445.8589,1544.770009,204.805396,146.05630526095354,705.6054302895592
139,0.161448,0.804971,1.196736,2837.619839,1522.364741,489.368291,1098.780741,112.943412,530.0234970397162,1932.1050890820804
140,0.162289,0.803455,0.74203,2089.108841,1559.251913,460.544165,1415.549848,138.907467,229.03453138210477,1204.234546642962
141,0.162094,0.802648,1.590823,2641.123793,2027.023925,502.449012,2634.157159,47.402004,673.3640172683912,2578.6280664780475
142,0.162245,0.803665,0.830806,3158.601128,1316.529721,504.36696,1593.490298,33.050489,420.3994500156591,1347.9439856593267
143,0.162241,0.804383,0.824162,2383.465518,1346.465863,764.459953,2913.409279,108.502094,301.09693558802945,1337.1304822100085
144,0.161713,0.806222,0.568238,2363.67776,1492.327536,590.875615,2735.78464,27.529844,212.75012778633823,918.9157132097824
145,0.1621,0.803974,0.965266,1725.458843,1820.854893,615.225587,2368.626082,62.050988,259.92318211216246,1564.694768026096
146,0.162545,0.806065,1.265452,2889.122171,1187.353121,433.40983,3566.924391,73.878479,582.2632330862233,2056.9286232846475
147,0.162635,0.801629,1.028901,2228.834201,1137.854288,235.191309,2348.803272,72.64132,361.149292112291,1673.3561251448255
148,0.162214,0.804117,2.101617,2102.987216,2130.56393,380.163556,1603.01457,134.760295,695.0709902059883,3409.107440126534
149,0.162745,0.80335,0.772899,2353.864845,1623.318075,623.964322,1540.606957,128.33878,275.1949093897265,1257.8520274833568
150,0.161186,0.80171,0.562171,1824.474944,1223.462262,413.0973,1592.973957,78.164491,152.7242052537455,906.1414217339523
151,0.162655,0.805485,0.933596,2953.965233,1759.684649,399.955291,2311.265004,54.119426,439.7683052902111,1518.5388171983716
152,0.162463,0.804945,1.170413,2741.864206,986.921702,358.574829,1283.254414,82.474828,507.96178880738967,1901.4831576798153
153,0.16298,0.806255,0.361912,2409.48222,1547.524302,329.047527,2265.289193,128.711987,121.14432043247034,589.8435504823165
154,0.161699,0.804492,1.654687,2051.264062,2829.513949,250.161722,1166.233778,325.605023,496.18871257100074,2675.612267363482
155,0.162145,0.805766,0.871687,2464.807093,1107.600941,546.988598,2215.246335,133.622634,326.70890856098015,1413.3972969865847
156,0.16279,0.805638,1.848001,2483.376128,1706.740448,557.391376,2427.087186,112.412452,728.7885237332051,3008.3566862215616
157,0.162769,0.803578,1.66694,3502.949288,1733.059446,431.10166,2092.799301,152.026211,925.6970485166362,2713.2628366044805
158,0.161968,0.806044,1.330509,3558.44786,2490.782906,709.209236,1782.380712,120.458355,747.3357194634367,2155.0017594704113
159,0.161671,0.806293,0.989123,1944.93443,1441.908376,336.224666,1820.084811,42.705254,304.1144467482018,1599.1214304801413
160,0.161963,0.802879,0.494164,2000.393186,725.847894,369.140293,1658.152226,167.796348,132.92728033046996,800.3632088801918
161,0.162165,0.802863,0.684546,3115.076601,1337.464641,551.983904,1420.402553,88.441926,331.4598248667528,1110.0914204260744
162,0.162158,0.803827,0.461968,1964.700317,1542.112746,561.003748,1195.713554,93.937691,131.94666080375282,749.1189638164075
163,0.162888,0.806586,0.440576,2847.798042,2140.466292,545.467037,2776.957551,153.817773,179.3159373855543,717.6457343396035
164,0.162044,0.806038,1.14363,2769.546278,1862.971428,585.657307,1340.196583,48.979745,505.31112077646026,1853.184392738565
165,0.162657,0.804317,1.162973,1980.925336,2318.793106,294.559841,1746.593737,12.609256,372.67178927387783,1891.6552028900483
166,0.163061,0.803818,0.221856,2461.326498,2723.006542,613.714752,2144.858574,157.402554,63.374912468724894,361.76051790079924
167,0.162631,0.804966,0.755927,1547.230929,1669.458621,672.054586,1991.226766,18.545387,187.19561418533013,1229.3682727916103
168,0.161868,0.806197,0.594995,2636.483094,1874.87879,449.189762,2365.192454,102.940016,237.25871250425115,963.1065239487315
169,0.162729,0.806172,1.728548,2584.914993,3012.364277,376.810752,1665.167551,200.820237,694.416867886196,2812.8432961132326
170,0.161553,0.80558,0.0,2401.857629,1430.813328,595.738924,2053.645088,92.387562,-14.925497587564275,0.0
171,0.161597,0.802645,1.959152,2096.941541,740.576447,486.464585,2239.654036,160.348636,637.9672087341561,3165.9401322336603
172,0.162402,0.804471,1.290192,1280.934888,1038.047364,508.583246,1200.807642,49.23016,260.39943815939836,2095.301889934237
173,0.161776,0.804987,0.0,3236.798451,565.558115,732.183928,2030.035317,118.701858,-19.203132422139696,0.0
174,0.161687,0.804184,0.6794,1776.908754,1503.320234,333.987551,1957.571625,55.325476,186.24828362215584,1098.5014990443512
175,0.163065,0.805657,1.223205,2550.660625,1433.321373,339.544756,2846.294599,104.778792,491.67357413888897,1994.6178533965349
176,0.16225,0.805278,0.659561,2124.418122,1020.03946,681.337174,2612.905624,85.989481,213.39032859515578,1070.1383702803128
177,0.161812,0.80568,0.863431,2120.933707,1289.003587,506.59599,1461.297957,32.787435,291.01684025769345,1397.1310135520503
178,0.161889,0.803833,2.137794,2724.134991,729.834258,351.297807,2217.432292,141.175558,919.930313903055,3460.8605375796346
179,0.16269,0.804751,0.78856,3566.960159,1171.758876,447.764259,1298.013732,13.075576,455.48006875397004,1282.905641341794
180,0.161337,0.804689,0.459077,1191.660885,1380.129524,183.920236,2529.062087,31.40065,83.19569437263877,740.6619753320024
181,0.162795,0.805161,1.457958,2348.127583,1032.812786,494.890001,2313.204907,183.478064,527.4542001265684,2373.480425448896
182,0.162746,0.803043,0.298717,3084.480914,2885.15013,487.134287,1832.141123,36.797179,143.96358272149322,486.15043426583037
183,0.162049,0.803238,1.351284,1725.76234,1053.285621,593.121217,1579.835349,116.867228,358.95883828570317,2189.739680518962
184,0.161745,0.804787,1.292082,3495.896782,1892.548143,451.159896,2983.615991,169.411755,703.1979028464422,2089.8768980209056
185,0.16155,0.804479,1.913022,1492.899915,1057.688398,410.748247,1991.882591,200.867331,428.92833512858147,3090.484701523818
186,0.162519,0.806022,1.207321,2064.375917,1127.695507,397.951716,1920.189965,31.838105,399.88185333878283,1962.1239625710255
187,0.161701,0.80528,0.88299,1671.754904,1035.457998,372.842676,1321.310024,123.624209,218.7039046547329,1427.8055324090692
188,0.16158,0.803878,0.985399,1894.591109,1819.171101,941.933945,3163.268186,47.084204,294.050557643881,1592.208626760575
189,0.162317,0.805954,2.069081,3342.028837,2847.999088,574.965303,1613.848898,32.157653,1117.1924139721334,3358.4753755598203
190,0.162763,0.802038,1.03144,1676.101487,1532.21156,500.908106,1070.751967,66.018978,270.6390561758259,1678.8035499084774
191,0.162746,0.802336,0.893124,2397.799513,2032.20588,353.683414,1070.633662,132.230389,327.00646016833036,1453.5263410479326
192,0.16185,0.80635,0.967387,1927.448362,1224.591912,372.238315,1409.147831,129.847908,280.76748219447677,1565.7143541328242
193,0.161981,0.807234,1.237861,2699.092267,1119.373253,626.466619,2494.938851,24.819615,537.175598893001,2005.1034208924818
194,0.161387,0.805836,0.811724,2266.904263,1898.063577,369.786482,1824.633073,150.786409,272.63382914989387,1310.019294399375
195,0.161637,0.806255,0.48327,2270.068749,2610.411486,591.316045,1984.263555,36.463245,171.43040571666614,781.1402139913611
196,0.162525,0.804914,0.66432,1851.089864,1729.599213,590.688732,1773.798618,243.26401,160.3234963461361,1079.6887388331647
197,0.162266,0.806348,0.557502,3356.438166,2296.151515,365.054667,1369.253421,56.779612,294.42240543013924,904.6369804116632
198,0.161287,0.802379,0.923259,2575.794187,1811.347683,451.803897,2046.805404,314.656011,332.8111127993732,1489.0982846469203
199,0.162243,0.803976,0.693127,2517.403508,1693.91034,572.680055,1412.976471,212.609257,248.60106918280528,1124.5536201321338
200,0.161671,0.804289,0.910309,2756.257225,1165.304346,528.529567,1504.026602,94.08735,390.42810364235794,1471.7032660388575
201,0.161787,0.803258,0.924248,1924.903266,1253.428273,441.137265,1782.882224,68.457939,276.75806913597154,1495.3150782940538
202,0.162136,0.804773,1.131672,3000.853833,1423.553283,575.774624,1181.458016,210.438341,516.489945108278,1834.8427157869662
203,0.161823,0.806007,0.518446,2612.615814,1290.074134,691.631243,1623.545019,46.123693,211.7259682268414,838.9670738269085
204,0.162682,0.804524,1.851439,2693.153978,1597.469642,699.046687,2711.888294,99.191922,795.0311070107124,3011.962465069001
205,0.162367,0.803731,1.622695,849.656428,1008.570963,295.585658,2774.545664,161.201073,197.68651790915644,2634.714127781326
206,0.161722,0.805158,1.26976,2208.741528,1662.096694,353.795175,2343.445359,82.476814,440.2234760728023,2053.4852743554234
207,0.162702,0.805013,1.368082,2108.049348,1234.607643,247.899297,1305.517041,110.328063,451.27971036092714,2225.8981391911834
208,0.162043,0.802741,0.43219,2495.125329,1004.30218,791.996918,2043.488072,225.957749,138.1268777057398,700.3322025290433
209,0.16236,0.804491,0.708079,3274.656742,1153.690915,688.789194,1894.988496,92.150954,361.5057814521573,1149.639398662734
210,0.161921,0.802982,0.763474,1940.734265,2551.580885,325.514501,1337.001548,70.82237,228.45006938285138,1236.2211226618483
211,0.162151,0.8028,0.289502,2487.941083,1977.7679,372.748394,1290.537727,23.09553,113.04694775904551,469.4320201146733
212,0.161355,0.803538,0.810983,2672.608772,1647.581302,429.684792,2010.439587,30.353322,344.83042526582733,1308.5644961219723
213,0.162574,0.806326,2.136017,2392.004088,1684.7721,660.10308,994.633102,137.636015,808.2733656292545,3472.6086357902664
214,0.161806,0.806393,1.053362,2021.767444,2243.5554,571.318171,2715.229485,59.875285,334.90207940433515,1704.401001823063
215,0.161665,0.804212,1.765551,1555.80002,2121.507171,391.120805,2258.201881,52.568352,435.57021958961576,2854.2787003568346
216,0.162613,0.804839,1.731865,1287.48356,1434.848047,347.464362,1232.775824,204.218138,329.37727064467816,2816.2361536042777
217,0.16161,0.806349,0.528241,2062.160047,1636.637183,542.935889,1939.604078,57.297723,166.78480476747052,853.6907125833073
218,0.16191,0.806206,1.01814,2016.817891,1081.179242,745.085247,941.28413,65.978807,321.78309970730646,1648.4666734846708
219,0.162468,0.803845,0.801582,2402.15684,1811.991715,484.95983,1256.90285,129.440115,291.8059838961843,1302.3122428483423
220,0.162637,0.80414,1.465924,3321.20865,1698.652873,705.659914,2141.555985,13.782933,789.5784014523097,2384.132093242512
221,0.161739,0.80606,1.235144,2152.594855,1789.263175,773.777754,1170.688319,194.79429,398.52043624317815,1997.7112374840758
222,0.162096,0.806026,1.832882,1403.76137,1767.462034,722.517414,1963.872948,41.380013,410.3532419256773,2971.023248136425
223,0.161843,0.805718,1.103135,2395.287661,708.246313,1016.889312,2352.716241,270.013981,383.94215992611856,1785.3474230739255
224,0.162791,0.803861,1.413211,1201.748757,1353.209752,846.546841,1781.439789,220.409733,240.59111465695216,2300.5792901154923
225,0.162153,0.806479,0.678249,1270.973886,1265.246884,363.594515,1900.92725,57.809064,130.407839569775,1099.8002457126308
