score,n,auroc,auroc_ci_lo,auroc_ci_hi,brier,cal_intercept,cal_slope,missing_predictors,delong_p_vs_ford
FORD-II,8422,0.7655,0.7453,0.7815,0.0656,0.0008,1.0004,None,4.441e-16
FORD (original),8422,0.8413,0.8281,0.8572,0.0617,0.0005,1.0003,None,
