metric,value
N_test,650737.0
raw_score_min,-3.0
raw_score_max,15.0
raw_score_mean,4.3
clipped_score_min,0.0
clipped_score_max,10.0
clipped_score_mean,4.38
AUROC_raw,0.8286
AUROC_raw_CI_low,0.8276
AUROC_raw_CI_high,0.8297
AUROC_clipped,0.8285
AUROC_clipped_CI_low,0.8275
AUROC_clipped_CI_high,0.8296
delta_AUROC_raw_minus_clipped,0.0001
n_clipped_below_0,36344.0
n_clipped_above_10,761.0
n_affected_total,37105.0
pct_affected,5.7
